"RAL Code","RAL Name","Description","Usage Tags","Mood Tags"
"RAL 1013","Oyster white","Wenn Sie ein Weiß suchen, das sich elegant und bewohnt anfühlt, ist RAL 1013 {0} die Antwort. Dieser anspruchsvolle Off-White-Ton trägt den cremigen Look einer Muschel in sich. Dank seiner komplexen grauen und gelben Untertöne wirkt er niemals klinisch oder kalt. Er ist ein Klassiker für Fensterrahmen und Leuchten, da er extrem sanft mit Innenwänden verschmilzt. Im Licht wirkt er wie ein warmes Leuchten, im Schatten sorgen seine Graunoten für eine klare, strukturelle Definition. Der Inbegriff von dezentem Luxus und zeitloser Eleganz für jede Renovierung.","ARCHITECTURE, HERITAGE_RESTORATION, INTERIOR_WALLS, LIGHTING_FIXTURES, MINIMALISM","ELEGANT, SOFT, CLASSIC, VERSATILE, NEUTRAL"
"RAL 1014","Ivory","RAL 1014 {0} ist der ultimative Klassiker – ein weicher, butterfarbener Ton, der seit Generationen beliebt ist. Er ist wärmer als Austernweiß und besitzt einen reichen, nostalgischen Charme. Denken Sie an Vintage-Geräte, klassische Taxis oder traditionelle Architekturdetails. Es ist eine sanfte, beruhigende Farbe, die Räumen sofort Geborgenheit verleiht, weshalb sie im Gesundheitswesen und im Gastgewerbe so geschätzt wird. Unter sanftem Licht entfaltet sie eine Tiefe, die perfekt für Räume ist, in denen Entspannung und ein Hauch von Geschichte das Ziel sind.","HOSPITALITY_DESIGN, HEALTHCARE, VINTAGE_APPLIANCES, FURNITURE, HERITAGE_ARCHITECTURE","RETRO, COMFORTING, BUTTERY, NOSTALGIC, GENTLE"
"RAL 1015","Light ivory","RAL 1015 {0} ist ein blasses, luftiges Cremeweiß, das noch feiner und dezenter wirkt als das Standard-Elfenbein. Jahrelang war dies die Farbe deutscher Taxis, geschätzt für ihre Pflegeleichtigkeit und Sichtbarkeit ohne Blendung. Es ist ein praktischer Neutralton, der viel weicher wirkt als ein hartes Büro-Weiß. In kleinen Räumen sorgt er für eine sonnige, reflektierende Qualität, die den Raum größer und einladender wirken lässt. Es vermittelt Sauberkeit ohne Sterilität – eine hochwertige Wahl für Installationen, die über Jahrzehnte hinweg würdevoll altern sollen.","PUBLIC_TRANSPORT, DOMESTIC_APPLIANCE, HEALTHCARE, CABINETRY, STEELWORK","CLEAN, AIRY, PRACTICAL, NEUTRAL, WELCOMING"
"RAL 1016","Sulfur yellow","RAL 1016 {0} ist ein hochoktaniges, stechendes Gelb mit einem markanten chartreusefarbenen Einschlag. Es ist extrem sichtbar und wirkt fast so, als würde es von selbst leuchten – weshalb es der Standard für Krankenwagen in vielen Teilen der Welt ist. Im Design ist es eine mutige Wahl, die für synthetische Energie und moderne Flair steht. Es ist kein gemütlicher Ton, sondern ein aktiver, technischer Schrei nach Aufmerksamkeit. Nutzen Sie ihn als kontrastreichen Akzent in der Sportmode oder bei avantgardistischen Möbeln, um sofortige Aufmerksamkeit und eine technologische Dringlichkeit zu signalisieren.","AMBULANCES, SAFETY_EQUIPMENT, SPORTSWEAR, AVANT_GARDE_DESIGN, SIGNAGE","PIERCING, CHEMICAL, HIGH_VISIBILITY, ACTIVE, TECHNICAL"
"RAL 1017","Saffron yellow","RAL 1017 {0} ist ein würziger, anspruchsvoller Ton, der wie ein weit gereister Weltbürger wirkt. Mit seiner reichen gold-orangen Tiefe ahmt er das kostbare Gewürz nach. Dies ist eher eine Lifestyle-Farbe als ein Industrietöne – sie vermittelt Wärme, Geschmack und eine einladende Atmosphäre. In Restaurants oder für Luxustextilien ist sie eine spektakuläre Wahl, da sie besonders in matten Oberflächen eine samtige, fast glühende Qualität entwickelt. In Kombination mit dunklen Hölzern entsteht eine Palette von globaler Eleganz, die gleichzeitig energiegeladen und sehr fein wirkt.","HOSPITALITY_DESIGN, TEXTILES, CULINARY_BRANDING, FEATURE_WALLS, AUTOMOTIVE","EXOTIC, SPICY, WARM, INVITING, SOPHISTICATED"
"RAL 1018","Zinc yellow","RAL 1018 {0} ist genau das, woran wir denken, wenn wir uns ein wahres Gelb vorstellen. Es ist hell, fröhlich und unkompliziert. In der Industrie ist es wegen seiner Klarheit ein Arbeitstier für Sicherheitsgeländer, aber es hat auch eine verspielte Seite, die es zum Favoriten für Kinderspielzeug und Spielplätze macht. Ohne schwere erdige Untertöne wirkt es leicht, modern und unbestreitbar optimistisch. Ein exzellentes Werkzeug für Farbleitsysteme oder jedes Design, das eine klare, lebendige Botschaft ohne unnötige Komplexität senden möchte.","INDUSTRIAL_STEEL, PLAYGROUNDS, TOYS, COLOR_CODING, SIGNAGE","PRIMARY, DIRECT, CHEERFUL, CLEAR, UNCOMPLICATED"
"RAL 1019","Grey beige","RAL 1019 {0} ist die Geheimwaffe moderner Architekten. Dieser meisterhaft ausbalancierte Neutralton – oft als Greige bezeichnet – verbindet die Wärme von Beige perfekt mit der kühlen Struktur von Grau. Er vermeidet den Gelbstich alter beiger Töne ebenso wie die Kälte von Beton. Das Ergebnis ist ein zeitloser, steinerner Ton, der hochwertig und anspruchsvoll wirkt. In der Sonne wirkt er warm und sandig, im Schatten verwandelt er sich in ein kühles, elegantes Taupe. Die perfekte Wahl für Luxusbranding oder Wohnkonzepte, die nach Ruhe und müheloser Eleganz streben.","ARCHITECTURE, FACADES, LUXURY_AUTOMOTIVE, INTERIOR_DESIGN, FURNITURE","SOPHISTICATED, TIMELESS, BALANCED, NEUTRAL, CALM"
"RAL 1020","Olive yellow","RAL 1020 {0} ist ein einzigartiger, erdiger Schatten, der sowohl robust als auch funktional wirkt. Er verschmilzt die Helligkeit von Gelb mit den ruhigen, vegetativen Tönen einer getrockneten Olive. Das ist kein Gute-Laune-Gelb, sondern eine geerdete, widerstandsfähige Farbe für Projekte, die Professionalität und Schmutzunempfindlichkeit erfordern. Designer lieben den retro-modernen Charme, besonders in biophilen Designs, die die Farben der Außenwelt nach drinnen holen möchten. Ein trockener, steinähnlicher Ton, der für funktionale Eleganz und eine tiefe Naturverbundenheit steht.","MILITARY, INDUSTRIAL_COATINGS, BIOPHILIC_DESIGN, RETRO_INTERIORS, INFRASTRUCTURE","UTILITARIAN, EARTHY, DRY, ROBUST, GROUNDED"
"RAL 1021","Rape yellow","RAL 1021 {0} ist ein lebhaftes, angesehenes Gelb, das für Kommunikation und öffentlichen Dienst steht. Es ist die Farbe nationaler Postdienste und findet sich sogar in der deutschen Flagge wieder. Dieser satte, leicht warme Ton wirkt verlässlich und präsent, ohne aggressiv zu sein. Im Branding vermittelt er eine zupackende Art und Zuverlässigkeit. Er behält seine Strahlkraft auch bei Wind und Wetter, was ihn zum Standard für Lieferfahrzeuge und gewerbliche Beschilderungen macht. Eine Farbe, die von Vernetzung und einer gut erledigten Arbeit spricht.","POSTAL_SERVICES, BRANDING, SIGNAGE, DELIVERY_VEHICLES, NATIONAL_FLAGS","PRESTIGIOUS, COMMUNICATIVE, VIVID, RELIABLE, DYNAMIC"
"RAL 1023","Traffic yellow","RAL 1023 {0} wurde für die Straße geboren. Es ist ein reines, hochsichtbares Gelb, das kalibriert wurde, um perfekt gegen grauen Asphalt und Beton hervorzustechen. Ob als Bodenmarkierung oder Navigationshilfe in der U-Bahn – diese Farbe steht für Effizienz und visuelle Klarheit. Sie besitzt eine dichte Sättigung, die auch im gleißenden Sonnenlicht nicht verblasst. In modernem Industrial-Chic-Design wird sie oft genutzt, um mutige Farbakzente zu setzen, die Bewegung, Geschwindigkeit und eine moderne, urbane Energie suggerieren.","TRANSPORTATION, ROAD_MARKINGS, WAYFINDING, INDUSTRIAL_DESIGN, SAFETY","HIGH_CONTRAST, FUNCTIONAL, NAVIGATIONAL, BOLD, PRACTICAL"
"RAL 1024","Ochre yellow","RAL 1024 {0} ist eine Farbe mit tiefen historischen Wurzeln. Es ist ein gedecktes, erdiges Gelb mit einem wunderschönen braunen Unterton, das natürliche Pigmente nachahmt, die seit Jahrhunderten in der Kunst verwendet werden. Im Gegensatz zu synthetischen Gelbtönen wirkt es organisch, rustikal und würdevoll gealtert. Es ist ein Favorit für die Denkmalpflege und mediterrane Architektur, da es sich anfühlt, als gehöre es direkt zur Erde. An einer Fassade wirkt es einladend und altert wunderschön mit der Zeit – eine Farbe, die Stabilität und historische Wärme ausstrahlt.","HERITAGE_RESTORATION, MASONRY_PAINT, TRADITIONAL_DESIGN, ARTISTIC_FINISHES, INTERIORS","RUSTIC, ORGANIC, TRADITIONAL, WARM, HISTORIC"
"RAL 1026","Luminous yellow","RAL 1026 {0} ist der ultimative Textmarker. Dieses fluoreszierende, hochsichtbare Gelb wurde für einen Zweck geschaffen: Gesehen werden. Dank spezieller Pigmente reflektiert es UV-Licht und scheint selbst bei schlechten Lichtverhältnissen zu glühen. Es ist die erste Wahl für Rettungsausrüstung und Warnschilder, wo jede Sekunde zählt. Es ist intensiv hell und wohl die lauteste Farbe der gesamten Kollektion. Auch wenn man sie kaum für Deko nutzt, ist sie für alle unverzichtbar, deren Sicherheit davon abhängt, in einer dunklen Umgebung unübersehbar zu sein.","SAFETY_GEAR, EMERGENCY_VEHICLES, CONSTRUCTION_SIGNAGE, RESCUE_EQUIPMENT, AVIATION","FLUORESCENT, URGENT, BOLD, HIGH_VISIBILITY, FUNCTIONAL"
"RAL 1027","Curry","RAL 1027 {0} ist ein warmes, würziges Gelbbraun, das reich und ein wenig exotisch wirkt. Wie der Name sagt, fängt es die komplexen Töne einer Gewürzmischung ein. Es ist ein Liebling für Retro-Designs und markante Fahrzeuglackierungen, da es diesen moody Charme der 70er Jahre besitzt. Es ist ein ernsthaftes Gelb – anspruchsvoller und geerdeter als die hellen Töne. In der Architektur setzt es als Akzent gegen Sichtbeton oder dunkle Hölzer starke Statements. Eine Farbe für alle, die eine Ästhetik suchen, die gleichzeitig erdig und kulturell tiefgründig ist.","INTERIOR_DESIGN, TEXTILES, RETRO_DESIGN, AUTOMOTIVE, PACKAGING","WARM, RICH, EXOTIC, GROUNDED, TRADITIONAL"
"RAL 1028","Melon yellow","RAL 1028 {0} ist die Farbe eines perfekten Sommertages. Es ist ein lebendiges, sonnenverwöhntes Gelb-Orange, das an das saftige Fruchtfleisch einer Cantaloupe erinnert. Es ist fröhlich, optimistisch und voller Energie – kein Wunder, dass es in berühmten Airline-Logos für Fernweh und globale Vernetzung steht. Es zieht den Blick mit einer freundlichen, positiven Art an, was es zur ersten Wahl für Werbung und moderne Konsumgüter macht. Wenn Sie einem Design einen lebendigen, modernen Funken verleihen wollen, der nahbar und sonnig wirkt, ist dies Ihre Farbe.","AVIATION, ADVERTISING, CONSUMER_PRODUCTS, BRANDING, TRANSPORTATION","OPTIMISTIC, JUICY, SUNNY, ENERGETIC, CHEERFUL"
"RAL 1032","Broom yellow","Benannt nach den leuchtend gelben Blüten des Ginsters, ist RAL 1032 {0} ein Grundpfeiler der Logistik und Kommunikation. Es ist ein warmes, florales Gelb, das einladend und prestigeträchtig wirkt, oft zu sehen an Post-Flotten und Stadtmöbeln. Es ist etwas goldener und weniger säuerlich als andere Gelbtöne, was ihm eine harmonische Wärme verleiht, die für Qualität und Vertrauen steht. Im Innendesign bringt es als kraftvoller Akzent das Licht der Sonne in den Raum, ohne ihn zu überladen. Eine Farbe, die für Schnelligkeit, Service und Beständigkeit spricht.","POSTAL_SERVICES, LOGISTICS, PUBLIC_FURNITURE, ARCHITECTURE, PRODUCT_DESIGN","WARM, RELIABLE, INVITING, FLORAL, SERVICE_ORIENTED"
"RAL 1033","Dahlia yellow","RAL 1033 {0} ist ein tiefes, goldenes Gelb, das stark ins Orange-Rote spielt und das intensive Glühen einer blühenden Blume einfängt. Es ist mutig, elegant und energiegeladen – eine perfekte Brücke zwischen der Vorsicht von Gelb und der Leidenschaft von Rot. Man findet es oft im Transportwesen, um Express-Dienste oder schnelle Bewegung zu markieren. Es strahlt Hitze und Lebendigkeit aus, was es zu einem großartigen Highlight für Eingänge oder markantes Branding macht. Ob matt oder glänzend, es vermittelt eine anspruchsvolle Reichhaltigkeit, die aktiv und lebendig wirkt.","BRANDING, SIGNAGE, TRANSPORTATION, ARCHITECTURAL_HIGHLIGHTS, INTERIOR_DESIGN","BOLD, WARM, ELEGANT, EXPRESSIVE, RICH"
"RAL 1034","Pastel yellow","Lassen Sie sich vom Namen nicht täuschen – RAL 1034 {0} hat eine starke Ausstrahlung. Es ist ein weiches, cremiges Gelb mit einer subtilen pfirsichfarbenen Tiefe, die es viel substanzieller macht als ein typisches Babygelb. Es ist sanft, freundlich und unglaublich beruhigend, weshalb es in Wellness-Bereichen und für Kinderprodukte so beliebt ist. Es reflektiert das Licht weich und schafft einen schmeichelhaften Glanz in jedem Raum. Es vermeidet die Schärfe anderer Gelbtöne und bietet eine ausgewogene Präsenz, die eine friedliche und einladende Umgebung perfekt unterstützt.","WELLNESS, NURSERIES, INTERIOR_DESIGN, COSMETICS, HOSPITALITY","SOFT, CALM, FRIENDLY, MUTED, INVITING"
"RAL 1035","Pearl beige","RAL 1035 {0} ist ein Meisterwerk des technischen Designs. Es ist ein raffinierter Metallicton, der eine beige Basis mit Perlglanzpigmenten mischt, um eine Oberfläche zu schaffen, die sich im Licht zu bewegen scheint. In einem Moment wirkt es wie sandiger Champagner, im nächsten wie ein kühles Silbergrün. Es vermittelt Luxus, Präzision und moderne Technologie. Architekten lieben diesen Ton für moderne Fassaden, da er über den Tag verteilt seinen Charakter ändert. Im Produktdesign steht er für Premium-Qualität und eine subtile optische Raffinesse, die alles aufwertet.","AUTOMOTIVE, ARCHITECTURE, PREMIUM_APPLIANCES, LUXURY_GOODS, PRODUCT_DESIGN","ELEGANT, REFINED, MODERN, SUBTLE, LUXURIOUS"
"RAL 1036","Pearl gold","RAL 1036 {0} ist ein anspruchsvoller Metallicton, der den Glanz von echtem Gold täuschend echt nachahmt. Es ist ein gedecktes Antikgold, das eher vornehm und zurückhaltend wirkt als protzig. Durch Perlglanzpigmente entsteht eine subtile Tiefe, die soliden Farben fehlt. Man findet es oft an hochwertigen Zierleisten oder Fassadenpaneelen, wenn Exklusivität und Wertigkeit gefragt sind. Es steht für Qualität und Erbe und fängt das Sonnenlicht auf eine Weise ein, die jedem Premium-Projekt ein dynamisches, hochwertiges Finish verleiht.","LUXURY_BRANDING, AUTOMOTIVE_TRIM, DECORATIVE_FINISHES, ARCHITECTURE, ELECTRONICS","PRESTIGIOUS, REFINED, RICH, DYNAMIC, EXCLUSIVE"
"RAL 1037","Sun yellow","RAL 1037 {0} ist wohl der wärmste Gelbton im gesamten RAL-Katalog. Es ist ein sattes, tiefes Gelb mit einem starken goldenen Kern, genau wie das Licht einer tiefstehenden Sonne. Es strahlt Hitze und Optimismus aus, was es zum Favoriten für schwere Maschinen und öffentliche Bauten macht, die robust und vital wirken sollen. Durch sein hohes visuelles Gewicht verankert es Designs mit einem kräftigen Farbtupfer. Es verbindet die Helligkeit von Gelb mit der Energie von Orange und lässt jeden Raum oder Gegenstand kraftvoll und strahlend wirken.","INFRASTRUCTURE, SIGNAGE, HEAVY_MACHINERY, BRAND_DESIGN, ARCHITECTURE","OPTIMISTIC, BRIGHT, WARM, VIBRANT, RADIANT"
"RAL 2000","Yellow orange","RAL 2000 {0} ist ein lebhaftes, freundliches Orange mit einem sonnigen, gelben Herzen. Es ist außergewöhnlich gut sichtbar, weshalb es der Standard für Rettungsringe und die Schifffahrt ist – es hebt sich perfekt vom blauen Wasser ab. Doch jenseits der Sicherheit besitzt es eine wunderbare Retro-Ästhetik, die optimistisch und gesellig wirkt. Es ist eine nahbare Farbe, die Aktivität signalisiert, ohne aggressiv zu sein. Ob an einem Kommunalfahrzeug oder einem Designerstück – es verspricht warme Energie und eine klare, kontrastreiche Präsenz.","MARINE_SAFETY, ROAD_CONSTRUCTION, RETRO_FURNITURE, SIGNAGE, TRANSPORTATION","VIBRANT, ENERGETIC, WARM, VISIBLE, APPROACHABLE"
"RAL 2001","Red orange","RAL 2001 {0} ist ein ernstes, geerdetes Orange mit einem tiefen, rötlichen Kern, ähnlich wie natürliches Terrakotta oder gebrannter Ton. Es wirkt substanzieller als seine gelb-orangen Verwandten und vermittelt Stabilität, Robustheit und industrielle Kraft. Eine großartige Wahl für Industrieböden oder markantes Branding, da es langlebig und entschlossen wirkt. Es besitzt einen warmen, herbstlichen Charakter, der sich natürlich in die Umgebung einfügt, aber dennoch einen starken, vom Menschen geschaffenen Kontrast setzt. Ideal, wenn Stärke und Bodenständigkeit gefragt sind.","INDUSTRIAL_FLOORING, RUGGED_MACHINERY, BRANDING, SPORTS_EQUIPMENT, AUTOMOTIVE","EARTHY, STABLE, RUGGED, BOLD, DYNAMIC"
"RAL 2002","Vermilion","RAL 2002 {0} ist ein rotes Orange mit echter Schlagkraft. Es ist ein lebendiger, traditioneller Ton, der weltweit für Not-Aus-Schalter und Warnsignale verwendet wird. Da er näher an Rot liegt, vermittelt er Vitalität, Dringlichkeit und Macht. Man sieht ihn oft im Transportwesen, da er schlicht unübersehbar ist. Er steht für Schnelligkeit und sofortiges Handeln, besitzt aber auch einen rustikalen, historischen Charme. In Hochglanz wirkt er flüssig und intensiv – die perfekte Wahl für alles, was sofortige Aufmerksamkeit mit einem warmen, entschlossenen Punch verlangt.","EMERGENCY_CONTROLS, SIGNAGE, PRODUCT_DESIGN, TRANSPORTATION, INDUSTRIAL_SAFETY","VIBRANT, BOLD, CLEAR, WARM, POWERFUL"
"RAL 2003","Pastel orange","RAL 2003 {0} ist eine sympathische Überraschung. Es ist ein weiches, helleres Orange, das nahbar und fröhlich wirkt. Während es oft in der Sicherheitstechnik für Arbeitskleidung zu sehen ist, macht seine geringere Sättigung es zu einer fantastischen Wahl für moderne Inneneinrichtungen und Kinderprodukte. Es gehört zu den am besten wahrnehmbaren Farben für das menschliche Auge, fühlt sich aber eher kreativ als alarmierend an. Es versprüht jugendliche Energie und Zugänglichkeit – ideal für eine lockere, einladende Umgebung, die einen Klecks kreativer Wärme braucht.","INTERIOR_DESIGN, CHILDREN_S_PRODUCTS, HOSPITALITY, FURNITURE, MUNICIPAL_WORKS","FRIENDLY, CHEERFUL, SOFT, APPROACHABLE, CREATIVE"
"RAL 2004","Pure orange","RAL 2004 {0} ist das absolute, definitive Orange. Es ist ein kräftiger, hochintensiver Ton, der Rot und Gelb in perfekter Balance hält. Dies ist die Farbe von Rettungsbooten und Sport-Branding – sie ist mutig, selbstbewusst und schlicht unmöglich zu ignorieren. Sie wirkt stark stimulierend und fördert soziale Interaktion sowie physische Energie. Nutzen Sie diesen Ton, wenn Sie einen Look suchen, der archetypisch, autoritär und voller Bewegung ist. Ob auf einem Hubschrauberlandeplatz oder bei Sportgeräten: Er steht für hohes Engagement und eine unverwechselbare Strahlkraft.","SAFETY, SPORTS_BRANDING, TRANSPORTATION, PRODUCT_DESIGN, RESCUE_EQUIPMENT","ARCHETYPAL, AUTHORITATIVE, STIMULATING, CONFIDENT, ACTIVE"
"RAL 2005","Luminous orange","RAL 2005 {0} ist ein technisches Wunderwerk für extreme Sichtbarkeit. Als fluoreszierende Sicherheitsfarbe scheint sie im Tageslicht fast zu glühen, weshalb sie der Standard für Krankenwagen-Streifen und Rettungswesten ist. Hier geht es nicht um Dekoration, sondern um Lebensrettung. Sie ist intensiv hell und entschlossen und ordnet Ästhetik der Kommunikation unter. Sie vermittelt höchste Dringlichkeit. Auch wenn sie im Wohnzimmer keinen Platz hat, ist sie in kritischen Umgebungen unverzichtbar, wo sofortiges Erkennen über Leben und Tod entscheiden kann.","AMBULANCE_STRIPING, LIFE_SAVING_EQUIPMENT, SIGNAGE, TRANSPORTATION, CONSTRUCTION","FLUORESCENT, URGENT, FUNCTIONAL, BOLD, HIGH_VISIBILITY"
